quote
"Every morning brings new potential, but if you dwell on the misfortunes of the day before, you tend to overlook tremendous opportunities. - Harvey Mackay"
"With the new day comes new strength and new thoughts. - Eleanor Roosevelt"
"The best time to plant a tree was 20 years ago. The second best time is now. - Chinese Proverb"
"The secret of getting ahead is getting started. - Mark Twain"
"Believe you can and you're halfway there. - Theodore Roosevelt"
"It does not matter how slowly you go as long as you do not stop. - Confucius"
"You miss 100% of the shots you don't take. - Wayne Gretzky"
"I can't change the direction of the wind, but I can adjust my sails to always reach my destination. - Jimmy Dean"
"Act as if what you do makes a difference. It does. - William James"
"The best way to predict the future is to invent it. - Alan Kay"
"What you get by achieving your goals is not as important as what you become by achieving your goals. - Zig Ziglar"
"Do what you can, with what you have, where you are. - Theodore Roosevelt"
"Believe you can and you're halfway there. - Theodore Roosevelt"
"I have learned over the years that when one's mind is made up, this diminishes fear. - Rosa Parks"
"I alone cannot change the world, but I can cast a stone across the waters to create many ripples. - Mother Teresa"
"The only limit to our realization of tomorrow will be our doubts of today. - Franklin D. Roosevelt"
"To handle yourself, use your head; to handle others, use your heart. - Eleanor Roosevelt"
"Too many of us are not living our dreams because we are living our fears. - Les Brown"
"I didn't fail the test. I just found 100 ways to do it wrong. - Benjamin Franklin"
"A person who never made a mistake never tried anything new. - Albert Einstein"
"The person who says it cannot be done should not interrupt the person who is doing it. - Chinese Proverb"
"There is only one way to avoid criticism: do nothing, say nothing, and be nothing. - Aristotle"
"The only place where success comes before work is in the dictionary. - Vidal Sassoon"
"The best revenge is massive success. - Frank Sinatra"
"Your time is limited, so don't waste it living someone else's life. - Steve Jobs"
"Don't judge each day by the harvest you reap but by the seeds that you plant. - Robert Louis Stevenson"
"The only person you are destined to become is the person you decide to be. - Ralph Waldo Emerson"
"Go confidently in the direction of your dreams! Live the life you've imagined. - Henry David Thoreau"
"What lies behind us and what lies before us are tiny matters compared to what lies within us. - Ralph Waldo Emerson"
"It is never too late to be what you might have been. - George Eliot"
"You become what you believe. - Oprah Winfrey"
"An unexamined life is not worth living. - Socrates"
"Dream big and dare to fail. - Norman Vaughan"
"Our lives begin to end the day we become silent about things that matter. - Martin Luther King Jr."
"Do not go where the path may lead, go instead where there is no path and leave a trail. - Ralph Waldo Emerson"
"Life is 10% what happens to me and 90% of how I react to it. - Charles Swindoll"
"If you can dream it, you can achieve it. - Zig Ziglar"
"The mind is everything. What you think you become. - Buddha"
"The best dreams happen when you're awake. - Cherie Gilderbloom"
"Happiness is not something readymade. It comes from your own actions. - Dalai Lama"
"All our dreams can come true if we have the courage to pursue them. - Walt Disney"
"Success is not final, failure is not fatal: It is the courage to continue that counts. - Winston Churchill"
"Never give up on a dream just because of the time it will take to accomplish it. The time will pass anyway. - Earl Nightingale"
"Don't wait. The time will never be just right. - Napoleon Hill"
"Start where you are. Use what you have. Do what you can. - Arthur Ashe"
"Success is walking from failure to failure with no loss of enthusiasm. - Winston Churchill"
"You may be disappointed if you fail, but you are doomed if you don't try. - Beverly Sills"
"Remember that not getting what you want is sometimes a wonderful stroke of luck. - Dalai Lama"
"The journey of a thousand miles begins with one step. - Lao Tzu"
"What we achieve inwardly will change outer reality. - Plutarch"
"The only way to do great work is to love what you do. - Steve Jobs"
"Change your thoughts and you change your world. - Norman Vincent Peale"
"The question isn't who is going to let me; it's who is going to stop me. - Ayn Rand"
"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it. - Henry Ford"
"It's not the years in your life that count. It's the life in your years. - Abraham Lincoln"
"Either write something worth reading or do something worth writing. - Benjamin Franklin"
"Nothing is impossible, the word itself says, 'I'm possible!' - Audrey Hepburn"
"The only way to have a friend is to be one. - Ralph Waldo Emerson"
"To live a creative life, we must lose our fear of being wrong. - Joseph Chilton Pearce"
